AdmArea;District;Address
Юго-Западный административный округ;Гагаринский район;город Москва, Ленинский проспект, дом 65, корпус 3
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Вавилова, дом 69/75
Юго-Западный административный округ;район Коньково;город Москва, улица Академика Капицы, дом 14А
Юго-Западный административный округ;район Ясенево;город Москва, Голубинская улица, дом 23, корпус 2
Юго-Западный административный округ;Обручевский район;город Москва, улица Обручева, дом 27, корпус 1
Юго-Западный административный округ;Академический район;город Москва, улица Кржижановского, владение 22, строение 2
Юго-Западный административный округ;Академический район;город Москва, улица Кржижановского, владение 22, строение 1
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 42Б
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 156, корпус 6
Юго-Западный административный округ;район Тёплый Стан;город Москва, Ленинский проспект, дом 131, корпус 4
Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Академика Варги, дом 34
Юго-Западный административный округ;район Ясенево;город Москва, Голубинская улица, дом 21, корпус 3
Юго-Западный административный округ;район Коньково;город Москва, улица Академика Волгина, дом 11
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Академика Пилюгина, дом 14А
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Кравченко, дом 12А
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Кравченко, дом 12А
Юго-Западный административный округ;район Котловка;город Москва, Нагорная улица, дом 11, корпус 1
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 8
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 21А
Юго-Западный административный округ;Обручевский район;город Москва, улица Новаторов, дом 3, строение 2
Юго-Западный административный округ;район Коньково;город Москва, улица Академика Капицы, дом 12
Юго-Западный административный округ;район Зюзино;город Москва, Симферопольский бульвар, дом 12, корпус 1
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 118Б
Юго-Западный административный округ;район Ясенево;город Москва, Вильнюсская улица, дом 12
Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Тёплый Стан, дом 25А
Юго-Западный административный округ;район Коньково;город Москва, улица Генерала Антонова, дом 5А
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 111/2
Юго-Западный административный округ;Академический район;город Москва, улица Шверника, дом 4, строение 4
Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Академика Бакулева, дом 3
Юго-Западный административный округ;район Черёмушки;город Москва, Нахимовский проспект, дом 45, строение 1
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 74
Юго-Западный административный округ;район Зюзино;город Москва, Малая Юшуньская улица, дом 1, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Малая Юшуньская улица, дом 1, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Малая Юшуньская улица, дом 1, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Малая Юшуньская улица, дом 1, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Малая Юшуньская улица, дом 1, корпус 1
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 1
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 1
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 3
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 3
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 3
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 3
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, корпус 3
Юго-Западный административный округ;Академический район;город Москва, улица Кржижановского, дом 30
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 6
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 6
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 6
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 15, корпус 3
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 15, корпус 3
Юго-Западный административный округ;Гагаринский район;город Москва, Ленинский проспект, дом 32А
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Гарибальди, дом 1А
Юго-Западный административный округ;район Ясенево;город Москва, Литовский бульвар, дом 17, корпус 3
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 62, корпус 5
Юго-Западный административный округ;Обручевский район;город Москва, улица Саморы Машела, дом 6, корпус 3
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 32А
Юго-Западный административный округ;Обручевский район;город Москва, улица Академика Пилюгина, дом 3
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 43А
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, владение 8, строение 1
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 56
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 61А
Юго-Западный административный округ;район Тёплый Стан;город Москва, 42-й километр Московской Кольцевой Автодороги, владение 4, строение 1
Юго-Западный административный округ;Гагаринский район;город Москва, Ломоносовский проспект, владение 23, строение 2
Юго-Западный административный округ;Гагаринский район;город Москва, Ломоносовский проспект, владение 23, строение 3
Юго-Западный административный округ;Обручевский район;город Москва, улица Обручева, дом 13, сооружение 2
Юго-Западный административный округ;район Ясенево;город Москва, Литовский бульвар, владение 17, строение 2
Юго-Западный административный округ;район Зюзино;город Москва, Нахимовский проспект, дом 11, корпус 1
Троицкий административный округ;поселение Щаповское;город Москва, Большая Черёмушкинская улица, дом 1
Троицкий административный округ;поселение Щаповское;город Москва, Большая Черёмушкинская улица, дом 1
Юго-Западный административный округ;район Котловка;город Москва, Большая Черёмушкинская улица, дом 1
Юго-Западный административный округ;район Котловка;город Москва, Большая Черёмушкинская улица, дом 1
Юго-Западный административный округ;район Зюзино;город Москва, Симферопольский бульвар, дом 22, корпус 3
Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 126, строение 7
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 102, строение 1
Юго-Западный административный округ;Обручевский район;город Москва, улица Обручева, дом 23, корпус 3
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 11Е
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 11Е
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 11Е
Юго-Западный административный округ;район Котловка;город Москва, Севастопольский проспект, дом 11Е
Юго-Западный административный округ;Академический район;город Москва, улица Вавилова, дом 47А
Юго-Западный административный округ;Гагаринский район;город Москва, улица Вавилова, дом 24, корпус 1
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 11Б
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 11
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 11
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 10, корпус 2
Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Тёплый Стан, владение 27, строение 1
Юго-Западный административный округ;район Черёмушки;город Москва, Севастопольский проспект, дом 28, корпус 2
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 45А
Юго-Западный административный округ;район Зюзино;город Москва, Одесская улица, дом 16, корпус 2
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 46, строение 1
Юго-Западный административный округ;район Черёмушки;город Москва, Новочерёмушкинская улица, дом 64, корпус 4
Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 10, корпус 1
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;район Ясенево;город Москва, Профсоюзная улица, дом 129А
Юго-Западный административный округ;Академический район;город Москва, проспект 60-летия Октября, дом 10
Юго-Западный административный округ;район Зюзино;город Москва, Азовская улица, дом 24, корпус 3
Юго-Западный административный округ;район Зюзино;город Москва, Азовская улица, дом 24, корпус 3
Юго-Западный административный округ;район Черёмушки;город Москва, Научный проезд, дом 19
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 47А
Юго-Западный административный округ;район Котловка;город Москва, Нахимовский проспект, дом 24, строение 1
Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Академика Варги, дом 15
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 28Б
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 21А
Юго-Западный административный округ;Гагаринский район;город Москва, улица Дмитрия Ульянова, дом 5А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 36А
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 36А
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 109
Юго-Западный административный округ;район Ясенево;город Москва, улица Паустовского, дом 6А
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 25А
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 118
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 118
Юго-Западный административный округ;район Зюзино;город Москва, Одесская улица, дом 2
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 7
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 7
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 7
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 7
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 22
Юго-Западный административный округ;район Южное Бутово;город Москва, Чечёрский проезд, дом 42
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 6А
Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 135А
Юго-Западный административный округ;район Южное Бутово;город Москва, бульвар Адмирала Ушакова, дом 12
Юго-Западный административный округ;район Южное Бутово;город Москва, бульвар Адмирала Ушакова, дом 12
Юго-Западный административный округ;район Северное Бутово;город Москва, Ратная улица, дом 10А
Юго-Западный административный округ;район Южное Бутово;город Москва, Чечёрский проезд, дом 80
Юго-Западный административный округ;район Северное Бутово;город Москва, Куликовская улица, дом 3А
Юго-Западный административный округ;район Южное Бутово;город Москва, Изюмская улица, дом 38, корпус 1
Юго-Западный административный округ;район Северное Бутово;город Москва, Ратная улица, дом 6А
Юго-Западный административный округ;район Северное Бутово;город Москва, улица Грина, дом 5А
Юго-Западный административный округ;район Южное Бутово;город Москва, Джанкойская улица, дом 7
Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 76, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, Скобелевская улица, дом 28
Юго-Западный административный округ;район Южное Бутово;город Москва, 3-я Железногорская улица, дом 11А
Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 52, корпус 2
Юго-Западный административный округ;район Южное Бутово;город Москва, Чечёрский проезд, дом 22, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, Бартеневская улица, дом 49, корпус 4
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Поляны, дом 31А
Юго-Западный административный округ;район Северное Бутово;город Москва, Старобитцевская улица, владение 2, строение 1
Юго-Западный административный округ;район Южное Бутово;город Москва, Чечёрский проезд, дом 56
Юго-Западный административный округ;район Южное Бутово;город Москва, Бартеневская улица, дом 27
Юго-Западный административный округ;район Южное Бутово;город Москва, аллея Витте, дом 2, строение 1
Юго-Западный административный округ;район Южное Бутово;город Москва, Скобелевская улица, дом 23, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, бульвар Адмирала Ушакова, дом 7
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 6, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Адмирала Лазарева, дом 62, корпус 2
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Адмирала Лазарева, дом 40, корпус 2
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5
Юго-Западный административный округ;район Южное Бутово;город Москва, Изюмская улица, дом 34, корпус 3
Юго-Западный административный округ;район Северное Бутово;город Москва, улица Грина, дом 18, корпус 3, строение 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Горчакова, дом 9, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Адмирала Руднева, дом 16, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Кадырова, дом 10
Юго-Западный административный округ;район Северное Бутово;город Москва, улица Поляны, владение 2, строение 1
Юго-Западный административный округ;район Северное Бутово;город Москва, улица Поляны, дом 6
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Адмирала Лазарева, дом 24
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Адмирала Лазарева, дом 24
Юго-Западный административный округ;район Южное Бутово;город Москва, Венёвская улица, дом 4
Юго-Западный административный округ;район Южное Бутово;город Москва, Венёвская улица, дом 4
Юго-Западный административный округ;район Южное Бутово;город Москва, Изюмская улица, дом 28, корпус 3
Юго-Западный административный округ;район Южное Бутово;город Москва, Новобутовский проезд, владение 9, строение 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Академика Понтрягина, дом 17, корпус 1
Юго-Западный административный округ;район Северное Бутово;город Москва, Куликовская улица, дом 9
Юго-Западный административный округ;район Южное Бутово;город Москва, Бартеневская улица, дом 39
Юго-Западный административный округ;район Южное Бутово;город Москва, Изюмская улица, дом 35А
Юго-Западный административный округ;район Южное Бутово;город Москва, Варшавское шоссе, владение 250, строение 1
Юго-Западный административный округ;район Южное Бутово;город Москва, Чечёрский проезд, дом 52, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Брусилова, дом 29, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Маршала Савицкого, дом 26, корпус 4
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Маршала Савицкого, дом 6, корпус 4
Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 74
Юго-Западный административный округ;район Северное Бутово;город Москва, улица Поляны, дом 8
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 1
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 1
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 1
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 1
Юго-Западный административный округ;район Южное Бутово;город Москва, Изюмская улица, дом 61, корпус 2
Юго-Западный административный округ;район Южное Бутово;город Москва, Варшавское шоссе, дом 206
Юго-Западный административный округ;район Южное Бутово;город Москва, Чечёрский проезд, дом 64, корпус 1
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Горчакова, дом 11
Юго-Западный административный округ;район Южное Бутово;город Москва, Венёвская улица, дом 6
Юго-Западный административный округ;район Южное Бутово;город Москва, Венёвская улица, дом 6
Юго-Западный административный округ;район Южное Бутово;город Москва, Венёвская улица, дом 6
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5А
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5А
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5А
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5А
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5А
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 5А
Юго-Западный административный округ;район Южное Бутово;город Москва, Бартеневская улица, дом 12
Юго-Западный административный округ;район Ясенево;город Москва, Литовский бульвар, дом 6, корпус 2
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 52, строение 1
Центральный административный округ;район Замоскворечье;город Москва, Летниковская улица, дом 4, строение 5
Центральный административный округ;район Замоскворечье;город Москва, Садовническая улица, дом 33, строение 1
Юго-Западный административный округ;Академический район;город Москва, Нахимовский проспект, дом 36
Центральный административный округ;район Замоскворечье;город Москва, Большая Серпуховская улица, дом 12/11, строение 2
Центральный административный округ;район Замоскворечье;город Москва, Пятницкая улица, дом 54
Юго-Западный административный округ;район Южное Бутово;город Москва, Синельниковская улица, дом 47
Центральный административный округ;район Замоскворечье;город Москва, Большая Серпуховская улица, дом 29
Центральный административный округ;район Замоскворечье;город Москва, Летниковская улица, дом 18, строение 1
Юго-Западный административный округ;район Коньково;город Москва, улица Академика Арцимовича, дом 7
Центральный административный округ;район Замоскворечье;город Москва, улица Бахрушина, дом 24, строение 1
Центральный административный округ;район Якиманка;город Москва, Якиманская набережная, дом 4, строение 1
